2018-11-05 20:20:55 INFO  Crawler:218 - ============== Start Crawler =============
2018-11-05 20:20:55 INFO  Crawler:219 - CONFIG FILE    : ./config/config_naver_news.json
2018-11-05 20:20:55 INFO  Crawler:223 - CRAWLER NAME   : naver_news
2018-11-05 20:20:55 INFO  Crawler:224 - CRAWLER TYPE   : SCENARIO_STATIC
2018-11-05 20:20:55 INFO  Crawler:225 - CRAWLER DELAY  : 3 sec
2018-11-05 20:20:55 INFO  Crawler:226 - IGNORE ROBOTS  : true
2018-11-05 20:20:55 INFO  Crawler:227 - LIMIT_COUNT    : -1
2018-11-05 20:20:55 INFO  Crawler:228 - FILTER COUNT   : 0
2018-11-05 20:20:55 INFO  Crawler:232 - SCENARIO COUNT : 4
2018-11-05 20:20:55 INFO  Crawler:233 - COLLECT COUNT  : 1
2018-11-05 20:20:55 INFO  Crawler:234 - SAVE TYPE      : DB
2018-11-05 20:20:55 INFO  Crawler:235 - SAVE HTML      : false
2018-11-05 20:20:55 INFO  Crawler:236 - ==========================================
2018-11-05 20:21:00 ERROR Crawler:258 - [ERR URL] https://news.naver.com/main/list.nhn?mode=LPOD&date=20181105&mid=sec&oid=138&listType=title
2018-11-05 20:21:00 ERROR Crawler:261 - L ERR_SCEN_ELEMENT : #main_content > div.paging > a
2018-11-05 20:21:00 INFO  Crawler:265 - [Progress 1] save : 0, err : 1, remain_work : 52, total : 53
2018-11-05 20:24:02 INFO  Crawler:265 - [Progress 60] save : 18, err : 3, remain_work : 94, total : 154
2018-11-05 20:24:05 INFO  Crawler:265 - [Progress 61] save : 18, err : 3, remain_work : 93, total : 154
2018-11-05 20:24:08 INFO  Crawler:265 - [Progress 62] save : 19, err : 3, remain_work : 92, total : 154
2018-11-05 20:24:12 INFO  Crawler:265 - [Progress 63] save : 19, err : 3, remain_work : 91, total : 154
2018-11-05 20:24:15 INFO  Crawler:265 - [Progress 64] save : 19, err : 3, remain_work : 90, total : 154
2018-11-05 20:24:18 INFO  Crawler:265 - [Progress 65] save : 19, err : 3, remain_work : 89, total : 154
2018-11-05 20:24:21 INFO  Crawler:265 - [Progress 66] save : 19, err : 3, remain_work : 88, total : 154
2018-11-05 20:24:24 INFO  Crawler:265 - [Progress 67] save : 19, err : 3, remain_work : 87, total : 154
2018-11-05 20:24:27 INFO  Crawler:265 - [Progress 68] save : 19, err : 3, remain_work : 86, total : 154
2018-11-05 20:24:30 INFO  Crawler:265 - [Progress 69] save : 19, err : 3, remain_work : 85, total : 154
2018-11-05 20:24:33 INFO  Crawler:265 - [Progress 70] save : 19, err : 3, remain_work : 84, total : 154
2018-11-05 20:24:36 INFO  Crawler:265 - [Progress 71] save : 19, err : 3, remain_work : 83, total : 154
