"collected_time","url","title","price","sales_rate"
"2018-10-31 16:50:05","https://front.wemakeprice.com/product/120323816?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=4&_service=3&source=dealsearch","USB 전원(5V) 케이블/USB(M)/2P(M)/20cm 그래픽","1,750","0"
"2018-10-31 16:50:08","https://front.wemakeprice.com/product/116519560?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=5&_service=3&source=dealsearch","[에이치피] HP 엘리트북 755 G5 R7 W10H 라이젠노트북 AMD 쿼드코어 RX VEGA 그래픽 견고하고 세련된 바디 노트북","1,133,000","0"
"2018-10-31 16:50:09","https://front.wemakeprice.com/product/101160573?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=6&_service=3&source=dealsearch","스미코구라시 스시 그래픽 카드범퍼케이스","23,900","0"
"2018-10-31 16:50:10","https://front.wemakeprice.com/product/100639700?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=7&_service=3&source=dealsearch","그래픽 추가장작 GT730 2G","119,000","0"
"2018-10-31 16:50:12","https://front.wemakeprice.com/product/116467783?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=8&_service=3&source=dealsearch","[조텍] ZOTAC AMP 지포스 RTX 2080 D6 8GB","1,202,900","12"
"2018-10-31 16:50:14","https://front.wemakeprice.com/product/109939436?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=9&_service=3&source=dealsearch","[이엠텍] 이엠텍 GTX1050 STORM X Nano D5 2GB_G","154,000","26"
"2018-10-31 16:50:16","https://front.wemakeprice.com/product/100167997?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=10&_service=3&source=dealsearch","[조텍] ZOTAC AMP 지포스 GTX1060 D5 6GB 백플레이트","365,600","97"
"2018-10-31 16:50:18","https://front.wemakeprice.com/product/100858727?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=11&_service=3&source=dealsearch","[아수스] 쿠폰+카드추가할인] UX331UN EG017T/코어i7/SSD 256G/MX150그래픽/윈10","1,288,000","6"
"2018-10-31 16:50:20","https://front.wemakeprice.com/product/100169093?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=12&_service=3&source=dealsearch","[조텍] ZOTAC AMP 지포스 GTX1060 D5 3GB","267,900","108"
"2018-10-31 16:50:21","https://front.wemakeprice.com/product/121823383?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=13&_service=3&source=dealsearch","ASUS GTX1050 Ti GAMING D5 4GB(벌크)","169,000","23"
"2018-10-31 16:50:23","https://front.wemakeprice.com/product/109935761?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=14&_service=3&source=dealsearch","[기가바이트] 기가바이트 GTX1060 UDV D5 6GB 윈드포스_G","367,700","3"
"2018-10-31 16:50:25","https://front.wemakeprice.com/product/116523904?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=15&_service=3&source=dealsearch","[에이치피] HP 엘리트북 735 G5 R7 W10P LTE 모듈탑재 AMD","1,329,000","1"
"2018-10-31 16:50:27","https://front.wemakeprice.com/product/100167479?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=16&_service=3&source=dealsearch","[조텍] ZOTAC AMP 지포스 GTX1070 Ti AIR D5 8GB","620,500","15"
"2018-10-31 16:50:28","https://front.wemakeprice.com/product/106379969?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=17&_service=3&source=dealsearch","서멀 구리스 써멀 그리스 방열 컴파운드 노트북 컴퓨터 CPU 쿨러","1,500","46"
"2018-10-31 16:50:30","https://front.wemakeprice.com/product/111658453?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=18&_service=3&source=dealsearch","[아수스] (쿠폰+카드중복할인) 젠북 UX331UN EG009T/지포스mx150그래픽카드/윈도우10","1,160,000","8"
"2018-10-31 16:50:32","https://front.wemakeprice.com/product/117415051?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=19&_service=3&source=dealsearch","[에이치피] (디지털)HP 엘리트북 755 G5 R7 W10H AMD 라이젠 노트북 쿼드코어","1,133,000","1"
"2018-10-31 16:50:34","https://front.wemakeprice.com/product/122069990?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=20&_service=3&source=dealsearch","[조텍] (예약판매) 조텍 게이밍 지포스 RTX 2070 Blower","722,000","3"
"2018-10-31 16:50:35","https://front.wemakeprice.com/product/111658383?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=21&_service=3&source=dealsearch","[아수스] 쿠폰+카드 ASUS젠북 UX331UN EG011T/지포스mx150그래픽카드/윈도우10","1,160,000","19"
"2018-10-31 16:50:37","https://front.wemakeprice.com/product/107462739?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=22&_service=3&source=dealsearch","[조텍] ZOTAC AMP 지포스 GTX1070 Ti D5 8GB","641,500","8"
"2018-10-31 16:50:39","https://front.wemakeprice.com/deal/600013016?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=23&_service=3&source=dealsearch","SATA SATA3 VGA PCI E 데이터 전원 케이블 변환","500","817"
"2018-10-31 16:50:40","https://front.wemakeprice.com/product/100067350?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=24&_service=3&source=dealsearch","DVI 변환 젠더 RGB(암) DVI(수)","3,900","40"
"2018-10-31 16:50:41","https://front.wemakeprice.com/product/100067448?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=25&_service=3&source=dealsearch","DVI 변환 젠더 HDMI(수) DVI(암)","5,900","11"
"2018-10-31 16:50:42","https://front.wemakeprice.com/product/100387889?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=26&_service=3&source=dealsearch","VGA 전원케이블 PCI E 6핀 to 8핀 변환케이블 15cm","1,500","73"
"2018-10-31 16:50:46","http://www.wemakeprice.com/deal/adeal/1551418/?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=27&_service=3&source=dealsearch","Ramok 600W 700W ATX 파워서플라이 600W 700W 파워서플라이","28,900","412"
"2018-10-31 16:50:48","https://front.wemakeprice.com/deal/600001879?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=28&_service=3&source=dealsearch","HDMI DVI RGB 변환 젠더 연장 컨넥터 모음","5,900","190"
