"collected_time","url","keyword","category","goods_name"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","농심 해물 안성탕면 112g"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","농심 신라면/50종모음전"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","오뚜기 진라면 매운맛 120g"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","삼양 까르보 불닭볶음면 130g"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","농심 신라면 박스 40개입"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","오뚜기 진라면 순한맛 120g"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","오뚜기 열 라면 120g"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","소문내지마세요! 신안너짜"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","오뚜기 진짜 쫄면 150g"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","삼양라면 매운맛 120g"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","팔도 비빔면 130g"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","농심 짜왕 134g"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","인도미 미고랭라면 80g"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","농심 안성탕면 125g"
"2018-11-12 14:54:36","https://search.shopping.naver.com/search/all.nhn?frm=NVSHATC&query=%EB%9D%BC%EB%A9%B4","라면","식품,가공식품,라면,봉지라면","오뚜기 스낵면 108g"
