2018-11-12 13:19:48 INFO  Crawler:181 - ============== Start Crawler =============
2018-11-12 13:19:48 INFO  Crawler:182 - CONFIG FILE    : 
2018-11-12 13:19:48 INFO  Crawler:188 - CRAWLER NAME   : domeggook
2018-11-12 13:19:48 INFO  Crawler:189 - CRAWLER TYPE   : SCENARIO_DYNAMIC
2018-11-12 13:19:48 INFO  Crawler:190 - CRAWLER DELAY  : 0 sec
2018-11-12 13:19:48 INFO  Crawler:191 - IGNORE ROBOTS  : true
2018-11-12 13:19:48 INFO  Crawler:192 - LIMIT_COUNT    : -1
2018-11-12 13:19:48 INFO  Crawler:193 - FILTER COUNT   : 0
2018-11-12 13:19:48 INFO  Crawler:197 - SCENARIO COUNT : 2
2018-11-12 13:19:48 INFO  Crawler:198 - COLLECT COUNT  : 1
2018-11-12 13:19:48 INFO  Crawler:199 - SAVE TYPE      : DB
2018-11-12 13:19:48 INFO  Crawler:200 - SAVE HTML      : true
2018-11-12 13:19:48 INFO  Crawler:201 - ==========================================
2018-11-12 13:21:29 INFO  Crawler:231 - [Progress 171] elaped time : 00:01:41, save : 42, err : 0, remain_work : 12, total : 183
2018-11-12 13:21:29 INFO  Crawler:231 - [Progress 172] elaped time : 00:01:41, save : 42, err : 0, remain_work : 11, total : 183
2018-11-12 13:21:31 INFO  Crawler:231 - [Progress 173] elaped time : 00:01:42, save : 43, err : 0, remain_work : 10, total : 183
2018-11-12 13:21:31 INFO  Crawler:231 - [Progress 174] elaped time : 00:01:42, save : 43, err : 0, remain_work : 9, total : 183
2018-11-12 13:21:31 INFO  Crawler:231 - [Progress 175] elaped time : 00:01:43, save : 43, err : 0, remain_work : 11, total : 186
2018-11-12 13:21:31 INFO  Crawler:231 - [Progress 176] elaped time : 00:01:43, save : 43, err : 0, remain_work : 10, total : 186
2018-11-12 13:21:33 INFO  Crawler:231 - [Progress 177] elaped time : 00:01:45, save : 44, err : 0, remain_work : 9, total : 186
2018-11-12 13:21:33 INFO  Crawler:231 - [Progress 178] elaped time : 00:01:45, save : 44, err : 0, remain_work : 8, total : 186
2018-11-12 13:21:34 INFO  Crawler:231 - [Progress 179] elaped time : 00:01:45, save : 44, err : 0, remain_work : 10, total : 189
2018-11-12 13:21:34 INFO  Crawler:231 - [Progress 180] elaped time : 00:01:45, save : 44, err : 0, remain_work : 9, total : 189
2018-11-12 13:21:35 INFO  Crawler:231 - [Progress 181] elaped time : 00:01:46, save : 45, err : 0, remain_work : 8, total : 189
2018-11-12 13:21:35 INFO  Crawler:231 - [Progress 182] elaped time : 00:01:47, save : 45, err : 0, remain_work : 7, total : 189
2018-11-12 13:21:36 INFO  Crawler:231 - [Progress 183] elaped time : 00:01:47, save : 45, err : 0, remain_work : 9, total : 192
2018-11-12 13:21:36 INFO  Crawler:231 - [Progress 184] elaped time : 00:01:47, save : 45, err : 0, remain_work : 8, total : 192
2018-11-12 13:21:37 INFO  Crawler:231 - [Progress 185] elaped time : 00:01:48, save : 46, err : 0, remain_work : 7, total : 192
2018-11-12 13:21:37 INFO  Crawler:231 - [Progress 186] elaped time : 00:01:48, save : 46, err : 0, remain_work : 6, total : 192
